ID      Subpopulation
neg_chenxiangA  neg
neg_guang10A    neg
neg_guangdiA    neg
neg_gui163S     neg
neg_guiA        neg
neg_naA neg
neg_sixiangA    neg
neg_taifengA    neg
neg_youxiangA   neg
neg_yuanxiangA  neg
neg_zhuxiangA   neg
neu_chenxiangA  neu
neu_guang10A    neu
neu_guangdiA    neu
neu_gui163S     neu
neu_guiA        neu
neu_naA neu
neu_sixiangA    neu
neu_taifengA    neu
neu_youxiangA   neu
neu_yuanxiangA  neu
neu_zhuxiangA   neu
pos_chenxiangA  pos
pos_guang10A    pos
pos_guangdiA    pos
pos_gui163S     pos
pos_guiA        pos
pos_naA pos
pos_sixiangA    pos
pos_taifengA    pos
pos_youxiangA   pos
pos_yuanxiangA  pos
pos_zhuxiangA   pos
